CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-9039277127145240000,72800,301,10,0,0,0,6,0,20,0,0,0,1,0,0,4,0,0,0,1,1,0,0,36,STNL to BP,0,0.3,0.0,40
-8496666001637960000,335633,1176,22,0,5,1,24,3,109,0,0,0,0,1,1,15,1,0,0,2,3,0,0,166,STNL to BP,2,0.22018348623853212,0.20833333333333334,107
-8309930230271000000,149778,694,49,0,0,0,4,0,21,0,0,1,0,0,0,43,0,0,0,4,0,0,0,74,STNL to BP,4,0.19047619047619047,0.0,12
-7957659082598930000,216274,850,8,0,6,0,53,0,39,0,0,1,2,0,0,0,0,0,0,1,0,1,0,107,BP to STH,8,1.358974358974359,0.11320754716981132,105
-7940613589745420000,190163,767,66,0,1,0,1,0,25,0,0,0,1,1,0,51,0,0,0,4,0,0,0,94,STNL to BP,9,0.04,1.0,175
-7885468659499940000,38444,135,13,0,0,2,0,0,3,0,1,0,1,0,0,7,0,0,0,1,1,0,0,19,STNL to BP,10,0.0,,71
-7579129756111380000,10107,37,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,5,STNL to BP,14,,,0
-7242606166903490000,357631,1339,31,0,2,0,20,0,124,0,0,1,1,0,0,26,0,0,0,3,0,0,0,177,STNL to BP,16,0.16129032258064516,0.1,628
-7240899418767690000,218403,898,57,0,0,0,0,0,51,0,1,0,1,0,0,51,0,0,0,1,2,0,0,108,STNL to BP,17,0.0,,67
-7182712046965190000,240376,982,5,0,3,0,38,0,73,0,0,0,3,0,0,0,0,0,0,2,0,0,0,119,STNL to BP,18,0.5205479452054794,0.07894736842105263,1095
-7169266210296410000,121399,456,21,0,1,0,9,0,29,0,0,0,0,0,0,19,0,0,0,1,1,0,0,60,STNL to BP,19,0.3103448275862069,0.1111111111111111,38
-7013844965038690000,147488,549,8,0,3,0,20,0,42,0,0,1,2,0,0,0,0,0,0,2,0,0,0,73,BP to STH,21,0.47619047619047616,0.15,703
-7013085429801100000,163730,611,4,0,13,0,27,0,37,0,0,0,0,0,1,0,0,0,0,1,0,0,0,81,STNL to BP,22,0.7297297297297297,0.48148148148148145,94
-6780295903086840000,101141,389,39,0,0,1,8,0,2,0,0,3,8,0,0,12,0,0,0,13,1,0,0,50,STNL to BP,23,4.0,0.0,55
-6138895782748630000,206212,812,8,0,4,0,14,0,75,0,0,0,0,0,0,0,0,0,0,2,5,0,1,102,STNL to BP,26,0.18666666666666668,0.2857142857142857,60
-6038549214255460000,159714,648,26,0,0,0,11,0,42,0,0,0,0,0,0,22,0,0,0,2,1,0,0,79,STNL to BP,27,0.2619047619047619,0.0,364
-6018330742315410000,187661,733,9,0,0,0,12,0,72,0,0,0,1,0,1,0,0,0,0,2,0,0,0,93,STNL to BP,28,0.16666666666666666,0.0,176
-5623366667990780000,317297,1164,7,0,5,0,32,0,113,0,0,0,2,0,0,0,0,0,0,2,0,0,0,157,STNL to BP,29,0.2831858407079646,0.15625,368
-5576681996760360000,117178,423,5,0,0,0,4,0,49,0,0,0,2,0,0,0,0,0,0,2,1,0,0,58,STNL to BP,30,0.08163265306122448,0.0,809
-5465176577155670000,177919,625,9,0,8,0,24,0,47,0,0,0,2,0,0,0,0,0,0,4,0,0,0,88,STNL to BP,31,0.5106382978723404,0.3333333333333333,300
-5438904297767410000,638655,2260,70,0,12,1,127,1,105,0,0,0,1,0,0,65,0,0,0,2,0,0,0,316,STNL to BP,32,1.2095238095238094,0.09448818897637795,1809
-5407253129063370000,739987,2951,107,0,24,0,155,1,78,0,3,0,3,1,0,91,0,0,0,4,0,0,0,366,STNL to BP,33,1.9871794871794872,0.15483870967741936,720
-5103492095618900000,58613,179,7,0,2,0,10,0,10,0,0,0,0,0,0,4,0,0,0,2,1,0,0,29,STNL to BP,34,1.0,0.2,904
-5030674902807640000,147697,568,38,0,3,0,15,0,17,0,0,1,1,0,0,33,0,0,0,1,0,0,0,73,STNL to BP,35,0.8823529411764706,0.2,101
-4997203215615380000,93071,299,2,0,1,0,2,2,38,0,0,0,0,0,0,0,0,0,0,1,1,1,0,46,STNL to BP,36,0.05263157894736842,0.5,108
-4939237054244710000,320966,1239,10,0,0,0,48,0,101,0,0,0,1,0,0,0,0,0,0,3,1,0,0,159,STNL to BP,37,0.4752475247524752,0.0,603
-4902504496224830000,12123,38,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,BP to STH,38,0.0,,1095
-4874369824113940000,260736,1115,15,0,8,0,46,0,59,0,0,7,2,1,0,0,0,0,0,1,0,0,0,129,STNL to BP,40,0.7796610169491526,0.17391304347826086,29
-4403628639358990000,238550,930,46,0,3,0,23,0,46,0,0,0,3,0,0,39,0,0,0,2,0,0,0,118,STNL to BP,42,0.5,0.13043478260869565,728
-4254066073819660000,915489,3660,15,0,31,0,258,0,149,0,2,1,0,0,0,0,0,0,0,3,6,0,0,453,STNL to BP,43,1.7315436241610738,0.12015503875968993,71
-4247508622357650000,311238,1121,8,0,1,0,28,2,115,0,0,0,4,0,0,0,0,0,0,4,0,0,0,154,BP to STH,44,0.24347826086956523,0.03571428571428571,756
-3617512968313550000,234694,866,61,0,1,0,31,0,22,0,0,0,2,1,0,41,0,0,0,17,0,0,0,116,STNL to BP,48,1.4090909090909092,0.03225806451612903,13
-3432599289707270000,82872,297,3,0,4,0,6,0,28,0,1,0,0,0,0,0,0,0,0,1,1,0,0,41,STNL to BP,49,0.21428571428571427,0.6666666666666666,81
-3177697347150650000,82956,276,13,0,1,0,0,0,27,0,0,0,1,0,0,0,0,0,0,9,2,0,0,41,STNL to BP,50,0.0,inf,20
-3085494572020240000,218287,674,5,0,3,0,30,1,69,0,0,0,3,0,0,0,0,0,0,2,0,0,0,108,STNL to BP,51,0.43478260869565216,0.1,2178
-2763790440788200000,349254,1254,10,0,2,0,39,0,122,0,0,0,0,0,0,0,0,0,0,3,2,0,0,173,BP to STH,53,0.319672131147541,0.05128205128205128,270
-2474326314480530000,127399,521,16,0,4,0,7,0,36,0,0,0,0,0,0,13,0,0,0,1,1,0,0,63,STNL to BP,54,0.19444444444444445,0.5714285714285714,99
-2399213078742300000,179853,702,3,0,6,0,8,0,72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,89,STNL to BP,55,0.1111111111111111,0.75,368
-2391493692381240000,278932,935,36,0,1,1,12,1,87,0,0,0,0,0,0,30,0,0,0,3,0,0,0,138,STNL to BP,56,0.13793103448275862,0.08333333333333333,1089
-2291493129650890000,388113,1522,33,0,2,0,63,0,94,0,0,0,0,0,0,30,0,0,0,2,1,0,0,192,STNL to BP,57,0.6702127659574468,0.031746031746031744,364
-2192958718224770000,93073,331,5,0,1,0,19,0,21,0,0,0,0,0,0,3,0,0,0,1,1,0,0,46,STNL to BP,59,0.9047619047619048,0.05263157894736842,108
-1531847696147910000,181594,753,7,0,0,0,45,0,38,0,0,0,1,0,0,0,0,0,1,2,1,0,0,90,STNL to BP,63,1.1842105263157894,0.0,140
-1497196556130980000,190263,814,35,0,5,3,25,2,23,0,0,0,3,1,0,25,0,0,0,1,1,0,0,94,BP to STH,64,1.0869565217391304,0.2,120
-1428966403003590000,178114,845,38,0,2,0,22,0,26,0,0,0,2,0,0,30,0,0,0,1,4,0,0,88,BP to STH,65,0.8461538461538461,0.09090909090909091,38
-1373367938364100000,538089,1841,71,0,4,1,63,1,125,0,1,0,0,1,0,62,0,0,0,2,5,0,0,266,STNL to BP,66,0.504,0.06349206349206349,101
-1206154528558190000,199760,769,4,0,0,0,22,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,0,99,STNL to BP,68,0.3013698630136986,0.0,352
-1144522599890590000,147541,560,28,0,0,0,1,0,44,0,0,0,1,0,0,21,0,0,0,2,0,0,0,73,STNL to BP,69,0.022727272727272728,0.0,1497
-759786816263672000,66604,228,2,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33,STNL to BP,70,0.631578947368421,0.0,59
-746345597428304000,248860,1020,97,0,0,0,4,0,22,0,0,0,1,0,0,93,0,0,0,2,0,0,0,123,STNL to BP,71,0.18181818181818182,0.0,0
-617465245550037000,335703,1279,84,0,13,0,20,0,49,0,2,0,0,0,1,75,0,0,0,1,0,0,0,166,BP to STH,72,0.40816326530612246,0.65,166
-467539037840078000,196239,835,72,0,3,1,15,3,3,0,0,0,0,0,0,63,0,0,0,1,4,0,0,97,BP to STH,73,5.0,0.2,46
-403823781018565000,167996,769,58,0,1,0,1,0,22,0,0,0,0,1,0,52,0,0,0,1,4,0,0,83,BP to STH,74,0.045454545454545456,1.0,47
-255907151874046000,311146,1193,34,0,2,0,40,0,78,0,0,1,0,0,0,28,0,0,0,2,0,0,0,154,STNL to BP,76,0.5128205128205128,0.05,904
-178040560375735000,99090,366,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,2,0,0,49,BP to STH,78,0.0,,102
-74112019732765900,394528,1427,82,0,7,0,76,0,30,0,0,3,12,0,0,54,0,0,0,3,1,0,0,195,STNL to BP,79,2.533333333333333,0.09210526315789473,152
-44117088159091100,238347,924,16,0,0,0,30,0,72,0,0,0,1,0,0,13,0,0,0,2,0,0,0,118,STNL to BP,80,0.4166666666666667,0.0,1809
193578500584297030,161782,589,24,0,1,0,9,0,46,0,1,0,1,0,0,15,0,0,0,3,0,0,0,80,STNL to BP,81,0.1956521739130435,0.1111111111111111,0
204167928895183190,279053,893,17,0,14,0,38,0,69,0,0,0,2,0,0,10,0,0,0,2,0,0,0,138,STNL to BP,82,0.5507246376811594,0.3684210526315789,646
235553737516095201,226372,886,28,0,1,0,5,0,78,0,0,1,13,0,0,7,0,0,0,3,0,0,0,112,STNL to BP,83,0.0641025641025641,0.2,726
346057203392526740,56657,160,12,0,1,1,0,1,13,0,0,0,1,0,0,6,0,0,0,1,3,0,0,28,BP to STH,85,0.0,inf,60
578417161791703271,216377,876,30,0,2,0,11,0,64,0,0,0,4,0,0,21,0,0,0,1,1,0,0,107,STNL to BP,86,0.171875,0.18181818181818182,56
669157830432312925,167614,654,6,0,1,0,29,0,47,0,0,0,4,0,0,0,0,0,0,2,0,0,0,83,STNL to BP,88,0.6170212765957447,0.034482758620689655,727
678324460595472309,508622,1939,9,0,0,0,124,0,118,0,0,0,2,0,0,0,1,0,0,3,0,0,0,252,STNL to BP,90,1.0508474576271187,0.0,540
771052760471074984,171989,570,38,0,1,3,24,0,19,0,0,0,0,0,0,32,0,0,0,2,1,0,0,85,BP to STH,91,1.263157894736842,0.041666666666666664,155
922978097249955951,244568,899,41,0,2,0,34,0,43,0,0,0,2,1,0,36,0,0,0,2,1,0,0,121,STNL to BP,92,0.7906976744186046,0.058823529411764705,1061
1068723965835185362,88876,384,2,0,1,0,17,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,STNL to BP,93,0.7083333333333334,0.058823529411764705,1448
1150879983939229082,244460,879,5,0,1,0,20,0,95,0,0,0,1,0,0,0,0,0,0,3,1,0,0,121,STNL to BP,94,0.21052631578947367,0.05,726
1234276751550834786,182006,696,43,0,1,0,1,0,45,0,0,0,3,0,1,38,0,0,0,1,0,0,0,90,STNL to BP,95,0.022222222222222223,1.0,66
1465911429141035883,477195,1853,127,0,5,0,37,0,67,0,0,1,7,0,0,99,0,0,0,3,2,0,0,236,BP to STH,97,0.5522388059701493,0.13513513513513514,365
1784236554793034450,211973,784,2,0,2,0,25,0,76,0,0,0,0,0,0,0,0,0,0,2,0,0,0,105,STNL to BP,100,0.32894736842105265,0.08,1080
1972007633707841336,210170,778,20,0,2,0,49,0,33,0,0,0,1,0,0,12,0,0,0,2,5,0,0,104,STNL to BP,101,1.4848484848484849,0.04081632653061224,263
2040508293628069608,216504,632,5,0,6,1,65,4,26,0,1,0,1,0,0,0,0,0,0,1,2,0,0,107,BP to STH,102,2.5,0.09230769230769231,68
2261765851717197188,230171,836,2,0,0,0,13,0,99,0,0,0,0,0,0,0,0,0,0,2,0,0,0,114,STNL to BP,103,0.13131313131313133,0.0,1080
2333101661192158738,80825,338,3,0,0,0,11,0,25,1,0,0,0,0,0,0,0,0,0,2,1,0,0,40,STNL to BP,104,0.44,0.0,364
2513991737160357735,205957,854,6,0,0,0,37,0,59,0,0,0,0,0,0,0,0,0,0,2,3,0,0,102,STNL to BP,106,0.6271186440677966,0.0,222
2794816249922528665,293205,1247,108,0,3,0,2,0,32,0,0,0,2,0,0,103,0,0,0,1,1,0,0,145,STNL to BP,109,0.0625,1.5,88
2854464749835862147,307288,1144,43,0,0,0,26,0,83,0,0,0,1,0,0,39,0,0,0,2,1,0,0,152,STNL to BP,110,0.3132530120481928,0.0,364
3787727130846742563,96858,402,7,0,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,STNL to BP,113,0.05128205128205128,0.0,352
3984603102462921359,404028,1477,12,0,24,0,50,0,114,0,0,0,2,0,1,0,0,0,0,2,0,0,0,200,STNL to BP,114,0.43859649122807015,0.48,547
4023092116417080353,125136,459,6,0,0,0,23,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,62,STNL to BP,115,0.696969696969697,0.0,183
4372932323249897788,181857,701,13,0,0,0,11,0,66,0,0,0,11,0,0,0,0,0,0,2,0,0,0,90,STNL to BP,117,0.16666666666666666,0.0,1456
4984587411005595232,604094,2262,29,0,3,0,143,0,124,0,0,0,0,0,0,18,0,0,0,4,0,0,0,299,STNL to BP,121,1.153225806451613,0.02097902097902098,726
5021868141301562818,426064,1552,2,0,3,0,144,0,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,211,STNL to BP,122,2.3225806451612905,0.020833333333333332,1080
5042780339743051650,232507,874,32,0,3,0,16,0,63,0,0,1,0,1,0,25,0,0,0,2,1,0,0,115,STNL to BP,123,0.25396825396825395,0.1875,120
5537068317766498372,285072,1067,31,0,1,0,46,0,62,0,0,0,5,1,0,23,0,0,0,2,0,0,0,141,STNL to BP,128,0.7419354838709677,0.021739130434782608,360
5771227246074698671,333384,1203,13,0,0,0,36,0,116,0,0,0,5,0,0,0,0,0,0,3,1,0,0,165,STNL to BP,130,0.3103448275862069,0.0,504
5931685433673598680,572096,2255,109,0,7,0,41,1,125,0,0,1,6,0,0,86,0,0,0,6,0,0,0,283,BP to STH,132,0.328,0.17073170731707318,329
6019253034883342048,60643,212,6,0,0,0,1,0,23,0,0,0,1,0,0,0,0,0,0,1,1,0,0,30,STNL to BP,134,0.043478260869565216,0.0,78
6035482707323323387,131380,529,12,0,0,0,22,0,31,0,0,0,1,0,0,0,0,3,0,4,1,0,0,65,STNL to BP,135,0.7096774193548387,0.0,25
6153090004140980367,135421,558,4,0,1,0,17,0,45,0,0,1,0,0,0,0,0,0,0,1,2,0,0,67,STNL to BP,136,0.37777777777777777,0.058823529411764705,54
6207896775180062030,386185,1478,73,0,1,0,46,0,71,0,0,2,1,0,0,68,0,0,0,2,0,0,0,191,STNL to BP,137,0.647887323943662,0.021739130434782608,366
6293399697177916560,254729,853,16,0,1,0,28,0,81,0,0,0,1,0,0,0,0,0,0,3,5,0,0,126,STNL to BP,140,0.345679012345679,0.03571428571428571,260
6317676185165226208,460779,1752,43,0,5,0,94,0,86,0,1,0,6,0,0,22,0,0,0,3,0,0,0,228,BP to STH,141,1.0930232558139534,0.05319148936170213,811
6348125179063301482,84931,346,5,0,2,0,3,0,32,0,0,0,0,0,0,0,0,0,0,1,4,0,0,42,STNL to BP,142,0.09375,0.6666666666666666,53
6371057237398760202,137443,554,5,0,6,0,16,0,41,0,1,0,0,0,0,0,0,0,0,1,1,0,0,68,STNL to BP,144,0.3902439024390244,0.375,263
6902197315984304436,198274,797,47,1,4,0,3,0,43,0,0,1,4,0,0,41,0,0,0,1,0,0,0,98,STNL to BP,146,0.06976744186046512,1.3333333333333333,139
6976424484832773860,268934,1034,43,0,3,1,15,0,71,0,0,0,0,0,0,37,0,0,0,2,1,0,0,133,STNL to BP,147,0.2112676056338028,0.2,549
7232269491368354331,361349,1328,2,0,2,0,101,0,74,0,0,0,0,0,0,0,0,0,0,2,0,0,0,179,STNL to BP,148,1.364864864864865,0.019801980198019802,1114
7475458739491599646,167860,532,19,0,5,2,27,1,29,0,0,1,0,0,0,13,0,0,0,1,0,0,0,83,BP to STH,150,0.9310344827586207,0.18518518518518517,107
7546872738331489898,34383,153,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,STNL to BP,151,,,729
8218457334943823746,325560,1268,32,0,5,0,41,0,83,0,0,0,0,0,0,27,0,0,0,2,3,0,0,161,STNL to BP,154,0.4939759036144578,0.12195121951219512,219
8267706113028823328,428641,1636,58,0,1,0,32,0,121,0,0,0,1,0,1,50,0,0,0,2,1,0,0,212,STNL to BP,155,0.2644628099173554,0.03125,161
8621837487991327738,363922,1366,44,0,7,0,61,0,67,0,0,0,1,1,0,38,0,0,0,2,1,0,0,180,STNL to BP,156,0.9104477611940298,0.11475409836065574,507
8907645328465305799,161816,641,80,0,0,0,0,0,0,0,1,0,10,0,0,64,0,0,0,4,1,0,0,80,STNL to BP,159,,,106
8923001518233951486,135230,492,4,0,0,0,41,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,67,STNL to BP,160,1.8636363636363635,0.0,136
9076186339214886876,254956,888,124,0,0,0,0,0,2,0,0,0,0,0,0,119,0,0,0,1,2,0,0,126,STNL to BP,162,0.0,,86
