primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,0,2,0,0,1,1,0.15492957746478872,0.6363636363636364,BP to STH,130
0,0,0,5,0,0,0,0,0.04,0.0,STNL to BP,84
0,0,0,1,0,0,2,0,0.12,1.0,STNL to BP,92
0,0,0,1,0,0,1,0,0.16666666666666666,0.5,STNL to BP,94
0,0,0,1,0,0,0,0,0.75,0.0,BP to STH,33
0,0,0,3,0,0,0,0,0.047619047619047616,1.0,STNL to BP,82
1,0,0,3,0,0,0,0,0.28169014084507044,0.15,STNL to BP,215
0,0,0,2,1,0,0,0,0.375,0.9583333333333334,STNL to BP,174
0,0,0,5,0,0,0,0,0.6818181818181818,0.2,BP to STH,48
0,0,0,3,0,0,0,0,0.34523809523809523,0.1724137931034483,STNL to BP,216
0,0,0,1,0,0,2,0,0.4339622641509434,0.043478260869565216,STNL to BP,80
0,0,0,1,0,0,1,0,,,STNL to BP,3
0,0,0,14,0,0,1,0,1.6666666666666667,0.2,STNL to BP,50
0,0,0,3,0,0,0,0,0.45348837209302323,0.4358974358974359,STNL to BP,190
0,0,0,1,0,0,2,0,0.15151515151515152,1.2,STNL to BP,97
0,0,0,1,0,0,6,0,0.030303030303030304,1.0,STNL to BP,123
0,0,0,2,0,0,0,0,2.0555555555555554,0.21621621621621623,STNL to BP,77
0,0,0,3,0,0,1,0,0.38461538461538464,0.26666666666666666,STNL to BP,85
0,0,0,3,0,0,0,0,0.5,4.0,STNL to BP,46
0,0,0,2,0,0,0,0,0.38095238095238093,0.625,STNL to BP,71
0,0,0,3,0,0,3,0,4.777777777777778,0.06976744186046512,STNL to BP,66
0,0,0,2,0,0,0,0,0.4,0.16666666666666666,STNL to BP,59
0,1,0,1,0,0,0,0,0.08163265306122448,1.25,STNL to BP,120
0,0,0,2,0,0,0,0,0.16071428571428573,0.2222222222222222,STNL to BP,72
0,0,0,2,0,0,0,1,2.8902439024390243,0.029535864978902954,STNL to BP,336
0,0,0,1,0,0,1,0,0.46153846153846156,0.05555555555555555,BP to STH,63
0,0,0,3,0,0,4,0,1.719298245614035,0.1836734693877551,STNL to BP,258
0,0,0,1,0,0,0,1,0.6444444444444445,0.3793103448275862,STNL to BP,92
0,0,0,12,0,0,0,0,0.7619047619047619,0.0625,STNL to BP,149
0,0,0,3,0,0,0,0,0.19696969696969696,1.0,STNL to BP,115
0,0,0,8,0,0,2,0,0.17391304347826086,0.125,STNL to BP,88
0,0,0,3,0,0,1,0,1.0754716981132075,0.07017543859649122,BP to STH,317
0,0,0,3,0,0,2,0,6.5,0.02564102564102564,STNL to BP,72
0,0,0,2,0,0,0,0,0.5405405405405406,0.05,STNL to BP,73
0,0,0,3,0,0,2,0,5.963855421686747,0.028282828282828285,STNL to BP,635
0,0,0,2,0,0,0,0,0.5277777777777778,0.0,STNL to BP,64
0,0,0,2,0,0,7,0,0.8472222222222222,0.03278688524590164,STNL to BP,147
0,0,0,1,0,0,1,0,0.38636363636363635,0.11764705882352941,STNL to BP,65
0,0,0,2,0,0,2,0,3.857142857142857,0.07407407407407407,BP to STH,125
0,0,0,1,0,0,0,1,0.4523809523809524,0.0,STNL to BP,86
0,0,0,1,0,0,1,0,2.6666666666666665,0.027777777777777776,STNL to BP,103
0,0,0,3,0,0,2,0,0.23076923076923078,0.06666666666666667,STNL to BP,120
0,0,0,2,0,0,0,0,0.0,inf,STNL to BP,139
0,0,1,4,0,0,0,0,2.619565217391304,0.07883817427385892,BP to STH,369
0,0,0,1,0,0,1,0,0.15217391304347827,0.2857142857142857,STNL to BP,60
0,0,0,2,0,0,1,0,0.2127659574468085,0.2,STNL to BP,168
0,0,0,3,0,0,0,1,0.2028985507246377,0.42857142857142855,STNL to BP,116
0,0,0,3,0,0,0,0,0.5934065934065934,0.018518518518518517,STNL to BP,171
0,0,0,2,0,0,1,0,1.5344827586206897,0.11235955056179775,STNL to BP,218
0,0,0,3,0,0,0,0,0.5670103092783505,0.14545454545454545,STNL to BP,183
0,0,0,2,0,0,0,0,0.4567901234567901,0.10810810810810811,STNL to BP,133
0,0,0,2,0,0,0,0,1.0246913580246915,0.04819277108433735,BP to STH,208
0,0,0,2,0,0,0,0,0.3116883116883117,0.0,STNL to BP,108
0,0,0,4,0,0,1,0,0.631578947368421,0.05,STNL to BP,167
0,0,0,2,0,0,0,2,0.39316239316239315,0.1956521739130435,STNL to BP,249
0,0,0,2,0,0,0,0,0.21153846153846154,0.0,STNL to BP,65
0,0,0,1,0,0,2,0,0.20833333333333334,0.7,STNL to BP,70
0,0,0,3,0,0,2,0,0.4473684210526316,0.11764705882352941,STNL to BP,123
0,0,1,1,0,0,0,0,1.0,0.0,STNL to BP,84
0,0,0,2,0,0,0,0,,,STNL to BP,7
0,0,0,2,0,0,4,0,0.3275862068965517,0.05263157894736842,STNL to BP,85
0,0,0,2,0,0,0,0,2.236842105263158,0.058823529411764705,BP to STH,133
0,0,0,2,0,0,2,0,0.21348314606741572,0.05263157894736842,STNL to BP,139
0,0,0,1,0,0,0,0,0.2857142857142857,0.0,BP to STH,147
0,0,0,2,0,0,0,0,0.2236842105263158,0.4117647058823529,STNL to BP,121
1,0,0,2,0,0,0,0,0.2247191011235955,0.05,BP to STH,144
0,0,0,5,0,0,0,1,0.9642857142857143,0.037037037037037035,STNL to BP,569
0,0,0,3,0,0,1,0,1.515527950310559,0.012295081967213115,STNL to BP,415
0,0,0,2,0,0,0,0,,,BP to STH,9
0,0,0,2,0,0,0,0,1.1323529411764706,0.025974025974025976,STNL to BP,170
0,0,0,1,0,0,1,0,0.11320754716981132,0.3333333333333333,STNL to BP,64
0,0,0,3,0,0,0,0,1.4527027027027026,0.05581395348837209,STNL to BP,460
0,0,0,2,0,0,0,0,0.1927710843373494,0.0,STNL to BP,106
0,0,0,3,0,0,0,0,0.8673469387755102,0.11764705882352941,BP to STH,205
0,0,0,1,0,0,2,0,1.1,0.0,STNL to BP,46
0,0,0,3,0,0,0,0,0.8785046728971962,0.010638297872340425,STNL to BP,214
0,0,0,2,0,0,0,2,1.0,0.16666666666666666,STNL to BP,146
0,0,0,2,0,0,0,0,0.21818181818181817,0.0,STNL to BP,71
0,0,0,1,0,0,1,0,0.16666666666666666,1.3333333333333333,BP to STH,52
0,0,0,2,0,0,0,0,0.46153846153846156,0.08333333333333333,BP to STH,87
0,0,0,3,0,0,0,0,4.487394957983193,0.0299625468164794,STNL to BP,675
3,0,0,5,0,0,0,0,0.4594594594594595,0.058823529411764705,STNL to BP,64
0,0,0,2,0,0,0,0,0.4782608695652174,0.06060606060606061,STNL to BP,106
0,0,0,2,0,0,1,0,1.3866666666666667,0.009615384615384616,STNL to BP,191
0,0,0,2,0,0,0,0,0.10204081632653061,1.0,STNL to BP,76
0,0,0,2,0,0,0,0,2.4444444444444446,0.02727272727272727,STNL to BP,161
0,0,0,7,0,0,0,0,0.94,0.10638297872340426,BP to STH,142
0,0,0,2,0,0,0,0,0.1,2.0,STNL to BP,109
0,0,0,2,0,0,0,0,0.36633663366336633,0.08108108108108109,STNL to BP,266
0,0,0,2,0,0,5,0,0.31645569620253167,0.16,BP to STH,117
0,0,0,2,0,0,0,0,0.6181818181818182,0.08823529411764706,STNL to BP,354
0,0,0,2,0,0,1,0,1.3137254901960784,0.0,STNL to BP,122
0,0,0,2,0,3,0,1,0.8632478632478633,0.4752475247524752,STNL to BP,672
0,0,0,3,0,0,0,0,0.22018348623853212,0.0,STNL to BP,138
0,0,0,1,0,0,1,0,0.39473684210526316,1.8666666666666667,STNL to BP,84
0,0,0,1,0,0,3,0,1.4615384615384615,0.0,STNL to BP,69
0,0,0,2,0,0,0,1,0.12658227848101267,0.2,STNL to BP,125
0,0,0,4,0,0,0,0,0.021739130434782608,2.0,STNL to BP,93
0,0,0,4,0,0,0,0,0.40625,0.10256410256410256,STNL to BP,219
0,0,0,1,0,0,1,0,0.4084507042253521,0.20689655172413793,STNL to BP,117
0,0,0,1,0,0,2,0,,,STNL to BP,41
0,0,0,2,0,0,0,0,0.11702127659574468,0.0,STNL to BP,197
0,0,0,8,0,0,0,0,0.0,,STNL to BP,85
0,0,0,2,0,0,0,0,0.9024390243902439,0.14864864864864866,STNL to BP,295
0,0,1,1,0,0,0,0,1.0,0.0,STNL to BP,27
